INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3793181345
INFO: Loaded 1 modules   (4141 inline 8-bit counters): 4141 [0x618a23425220, 0x618a2342624d), 
INFO: Loaded 1 PC tables (4141 PCs): 4141 [0x618a23426250,0x618a23436520), 
INFO: 5530 Extra Counters
#96873	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32291 rss: 31Mb L: 2622/4060 MS: 1 EraseBytes-
#97799	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32599 rss: 31Mb L: 309/4060 MS: 1 EraseBytes-
#98190	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32730 rss: 31Mb L: 360/4060 MS: 1 EraseBytes-
#98397	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32799 rss: 31Mb L: 681/4060 MS: 2 EraseBytes-CopyPart-
#98618	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32872 rss: 31Mb L: 298/4060 MS: 1 EraseBytes-
#99700	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 33233 rss: 31Mb L: 912/4060 MS: 2 ChangeBit-EraseBytes-
#103672	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 34557 rss: 31Mb L: 1749/4060 MS: 2 CopyPart-EraseBytes-
#105154	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 35051 rss: 31Mb L: 13/4060 MS: 2 ShuffleBytes-EraseBytes-
#106120	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 35373 rss: 31Mb L: 6/4060 MS: 1 EraseBytes-
#106434	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 35478 rss: 31Mb L: 659/4060 MS: 4 ShuffleBytes-PersAutoDict-ChangeBit-EraseBytes- DE: "\000\000\000\000\000\000\000\031"-
#107630	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 35876 rss: 31Mb L: 44/4060 MS: 1 EraseBytes-
